date,date_raw,status,score,coverage,keywords,title,url
2024-08-05,2024-08-05T17:26:41+02:00,200,0.3632,50.00%,terrassenfliesen reinigen,kann ich jeden kristall mit rauch reinigen?,https://www.gutefrage.net/frage/kann-ich-jeden-kristall-mit-rauch-reinigen
2024-07-31,2024-07-31T08:29:31+02:00,200,0.3715,50.00%,terrassenfliesen reinigen,bad-lüfter wie korrekt reinigen?,https://www.gutefrage.net/frage/bad-luefter-wie-korrekt-reinigen
2024-07-09,2024-07-09T15:26:37+02:00,200,0.5194,66.67%,holzfliesen balkon pflege,was kann man gegen insekten unter holzfliesen auf dem balkon?,https://www.gutefrage.net/frage/was-kann-man-gegen-insekten-unter-holzfliesen-auf-dem-balkon
2024-06-29,2024-06-29T00:19:59+02:00,200,0.4595,66.67%,holzfliesen balkon pflege,was tun gegen streunnde katze auf dem balkon?,https://www.gutefrage.net/frage/was-tun-gegen-streunnde-katze-auf-dem-balkon
2024-06-27,2024-06-27T15:20:50+02:00,200,0.4532,66.67%,klickfliesen reinigen balkon,weiß jemand was das ist?,https://www.gutefrage.net/frage/weiss-jemand-was-das-ist-517
2024-06-24,2024-06-24T07:08:56+02:00,200,0.4417,66.67%,holzfliesen balkon pflege,weiß jemand was das für käfer sind?,https://www.gutefrage.net/frage/weiss-jemand-was-das-fuer-kaefer-sind-5
2024-05-30,2024-05-30T10:10:39+02:00,200,0.5333,66.67%,akazienholz terrasse pflege | klickfliesen terrasse holz,"möchte terasse aus bankirai holz reinigen, wieviel bar soll ein hochdruckreiniger haben. terrasse ist sehr verschmutzt",https://www.gutefrage.net/frage/moechte-terasse-aus-bankirai-holz-reinigen-wieviel-bar-soll-ein-hochdruckreiniger-haben-terrasse-ist-sehr-verschmutzt
2024-05-01,2024-05-01T20:37:48+02:00,200,0.4938,66.67%,klickfliesen reinigen balkon,balkon säubern mit was und wie?,https://www.gutefrage.net/frage/balkon-saeubern-mit-was-und-wie
2024-04-05,2024-04-05T10:19:12+02:00,200,0.4917,66.67%,holz klickfliesen balkon,balkon schön machen wie?,https://www.gutefrage.net/frage/balkon-schoen-machen-wie
2024-03-15,2024-03-15T11:20:32+01:00,200,0.4811,66.67%,balkon bodenbelag fliesen,wie lange würde es dauern allein diesen balkon zu fliesen?,https://www.gutefrage.net/frage/wie-lange-wuerde-es-dauern-allein-diesen-balkon-zu-fliesen
2024-02-20,2024-02-20T13:29:50+01:00,200,0.5095,66.67%,klickfliesen reinigen balkon,wie balkon über bürgersteig nass reinigen?,https://www.gutefrage.net/frage/wie-balkon-ueber-buergersteig-nass-reinigen
2024-02-11,2024-02-11T12:56:38+01:00,200,0.4839,66.67%,balkon bodenbelag fliesen,was kann man gut auf fliesen anbringen?,https://www.gutefrage.net/frage/was-kann-man-gut-auf-fliesen-anbringen
2024-01-30,2024-01-30T02:10:17+01:00,200,0.4723,66.67%,holz klickfliesen balkon,kann ich auf den balkon gardinenstange anboten?,https://www.gutefrage.net/frage/kann-ich-auf-den-balkon-gardinenstange-anboten
2023-12-30,2023-12-30T15:10:07+01:00,200,0.4744,66.67%,holzfliesen balkon pflege,wie pflege ich diese zitronengeranie? 🍋?,https://www.gutefrage.net/frage/wie-pflege-ich-diese-zitronengeranie-
2023-11-14,2023-11-14T17:17:23+01:00,200,0.4982,66.67%,balkon bodenbelag fliesen | holz klickfliesen balkon | holzfliesen balkon pflege,balkon-boden - was nimmt man da?,https://www.gutefrage.net/frage/balkon-boden---was-nimmt-man-da
2023-07-30,2023-07-30T05:51:59+02:00,200,0.4649,66.67%,balkon bodenbelag fliesen,kann man als mieter was da tun?,https://www.gutefrage.net/frage/kann-man-als-mieter-was-da-tun
2023-07-25,2023-07-25T12:55:59+02:00,200,0.4891,66.67%,klickfliesen terrasse holz,holz verbrannt was tun?,https://www.gutefrage.net/d/frage/holz-verbrannt-was-tun
2023-04-10,2023-04-10T10:18:47+02:00,200,0.3516,50.00%,terrassenfliesen reinigen,wie kann man einen tft monitor oder lcd fernseher (beides in etwa das selbe) reinigen?,https://www.gutefrage.net/frage/wie-kann-man-einen-tft-monitor-oder-lcd-fernseher-beides-in-etwa-das-selbe-reinigen
2023-03-15,2023-03-15T00:12:20+01:00,200,0.4511,66.67%,balkon bodenbelag fliesen,frage zu apple care+ bei macbooks. wie läuft das ab?,https://www.gutefrage.net/frage/frage-zu-apple-care-bei-macbooks-wie-laeuft-das-ab
2023-01-24,2023-01-24T13:53:29+01:00,200,0.3926,50.00%,terrassenfliesen reinigen,wann/wie oft sollte man seinen pc reinigen?,https://www.gutefrage.net/frage/wannwie-oft-sollte-man-seinen-pc-reinigen
2022-12-01,2022-12-01T15:20:42+01:00,200,0.3882,50.00%,terrassenfliesen reinigen,wie reinige ich eine bluray?,https://www.gutefrage.net/frage/wie-reinige-ich-eine-bluray
2022-09-29,2022-09-29T10:59:45+02:00,200,0.3766,50.00%,terrassenfliesen reinigen,wie kann ich die kaminscheibe reinigen?,https://www.gutefrage.net/frage/wie-kann-ich-die-kaminscheibe-reinigen
2022-08-23,2022-08-23T17:55:09+02:00,200,0.3871,50.00%,terrassenfliesen reinigen,wie laptop in der ritze reinigen?,https://www.gutefrage.net/frage/wie-laptop-in-der-ritze-reinigen
2022-07-28,2022-07-28T18:07:37+02:00,200,0.4727,66.67%,klickfliesen terrasse holz,kann morsches holz wieder stabil werden?,https://www.gutefrage.net/frage/kann-morsches-holz-wider-stabil-werden
2022-07-20,2022-07-20T17:42:04+02:00,200,0.4508,66.67%,holz klickfliesen balkon,"was versteht man unter ""altes holz"" beim rückschnitt von rosmarin / halbsträuchern?",https://www.gutefrage.net/frage/was-versteht-man-unter-altes-holz-beim-rueckschnitt-von-rosmarin--halbstraeuchern
2022-06-11,2022-06-11T21:01:41+02:00,200,0.3782,50.00%,terrassenfliesen reinigen,wie kann ich denn pci-e slot reinigen?,https://www.gutefrage.net/frage/wie-kann-ich-denn-pci-e-slot-reinigen
2022-06-03,2022-06-03T11:12:47+02:00,200,0.3718,50.00%,terrassenfliesen reinigen,wie geschlossene kugellager reinigen?,https://www.gutefrage.net/frage/wie-geschlossene-kugellager-reinigen
2022-05-05,2022-05-05T16:02:57+02:00,200,0.4800,66.67%,akazienholz terrasse pflege,wie pflege ich diesen oleander und wie schneide ich ihn?,https://www.gutefrage.net/frage/wie-pflege-ich-diesen-oleander-und-wie-schneide-ich-ihn
2022-04-11,2022-04-11T11:46:04+02:00,200,0.5107,66.67%,klickfliesen reinigen balkon | terrassenfliesen reinigen,wie pinsel mit aceton reinigen?,https://www.gutefrage.net/frage/wie-pinsel-mit-aceton-reinigen
2022-03-27,2022-03-27T11:46:32+02:00,200,0.4515,50.00%,akazienholz klickfliesen,klickfliesen reinigen?,https://www.gutefrage.net/frage/klickfliesen-reinigen
2022-03-23,2022-03-23T16:01:48+01:00,200,0.3509,50.00%,terrassenfliesen reinigen,wie reinigt man gebrauchte lederhandschuhe (motorrad)?,https://www.gutefrage.net/frage/wie-reinigt-man-gebrauchte-lederhandschuhe-motorrad
2022-02-16,2022-02-16T21:51:25+01:00,200,0.3947,50.00%,terrassenfliesen reinigen,wie oft muss man einen hamster käfig reinigen?,https://www.gutefrage.net/frage/wie-oft-muss-man-einen-hamster-kaefig-reinigen
2022-01-25,2022-01-25T23:46:16+01:00,200,0.3714,50.00%,terrassenfliesen reinigen,kann man mit diesem wasserfilter fluss/seewasser reinigen?,https://www.gutefrage.net/frage/kann-man-mit-diesem-wasserfilter-flussseewasser-reinigen
2022-01-13,2022-01-13T17:55:44+01:00,200,0.4208,50.00%,terrassenfliesen reinigen,wie vogelhaus reinigen?,https://www.gutefrage.net/frage/wie-vogelhaus-reinigen
2021-10-25,2021-10-25T15:15:57+02:00,200,0.4760,66.67%,klickfliesen outdoor holz,outdoor kochen mit dutch oven auf holzkohlegrill vs kochen in der küche mit gas oder strom: was ist preisgünstiger und besser für den klimaschutz u. für den...?,https://www.gutefrage.net/frage/outdoor-kochen-mit-dutch-oven-auf-holzkohlegrill-vs-kochen-in-der-kueche-mit-gas-oder-strom-was-ist-preisguenstiger-und-besser-fuer-den-klimaschutz-u-fuer-den
2021-08-21,2021-08-21T18:42:06+02:00,200,0.3877,50.00%,terrassenfliesen reinigen,wie oft kann man schmuck ultraschall reinigen?,https://www.gutefrage.net/frage/wie-oft-kann-man-schmuck-ultraschall-reinigen
2021-08-15,2021-08-15T13:33:50+02:00,200,0.4653,66.67%,holzfliesen balkon pflege,wohnen: was ziehst du vor? garten oder balkon?,https://www.gutefrage.net/frage/wohnen-was-ziehst-du-vor-garten-oder-balkon
2021-07-27,2021-07-27T12:39:50+02:00,200,0.4843,66.67%,klickfliesen terrasse holz,terrasse bauen - was muss ich beachten?,https://www.gutefrage.net/frage/terrasse-bauen---was-muss-ich-beachten
2021-07-27,2021-07-27T07:36:48+02:00,200,0.3853,50.00%,terrassenfliesen reinigen,wie oft sollte man silber schmuck reinigen?,https://www.gutefrage.net/frage/wie-oft-sollte-man-silber-schmuck-reinigen
2021-06-19,2021-06-19T11:33:18+02:00,200,0.4667,66.67%,holz klickfliesen balkon,vogel auf dem balkon gelandet kann nicht fliegen (jungtier?)?,https://www.gutefrage.net/frage/vogel-auf-dem-balkon-gelandet-kann-nicht-fliegen-jungtier
2021-06-11,2021-06-11T12:42:23+02:00,200,0.4485,66.67%,holzfliesen balkon pflege,was hat meine zitronenmelisse?,https://www.gutefrage.net/frage/was-hat-meine-zitronenmelisse
2021-06-06,2021-06-06T17:10:11+02:00,200,0.3696,50.00%,terrassenfliesen reinigen,wie reinige ich meine poren auf der nase richtig?,https://www.gutefrage.net/frage/wie-reinige-ich-meine-poren-auf-der-nase-richtig
2021-04-30,2021-04-30T20:20:59+02:00,200,0.6659,100.00%,balkon bodenbelag fliesen,"ikea ""runnen"" bodenbeläge - für wie viel qm?",https://www.gutefrage.net/frage/ikea-runnen-bodenbelaege---fuer-wie-viel-qm
2021-04-19,2021-04-19T12:56:17+02:00,200,0.4801,50.00%,terrassenfliesen akazie,terrassenfliesen auf alten belag?,https://www.gutefrage.net/frage/terrassenfliesen-auf-alten-belag
2021-02-11,2021-02-11T18:43:06+01:00,200,0.4848,66.67%,balkon bodenbelag fliesen,wie viele fliesen brauche ich?,https://www.gutefrage.net/frage/wie-viele-fliessen-brauche-ich
2021-01-20,2021-01-20T23:45:45+01:00,200,0.4288,50.00%,terrassenfliesen reinigen,wie ein terrarium reinigen?,https://www.gutefrage.net/frage/wie-ein-terrarium-reinigen
2021-01-15,2021-01-15T18:48:53+01:00,200,0.4500,66.67%,klickfliesen outdoor holz,"fleck auf holzboden, was tun?",https://www.gutefrage.net/frage/boden-auf-holzboden-was-tun
2020-12-23,2020-12-23T19:43:50+01:00,200,0.4821,66.67%,holzfliesen balkon pflege,was ist das für eine pflanze für den balkon?,https://www.gutefrage.net/frage/was-ist-das-fuer-eine-pflanze-fuer-den-balkon
2020-09-18,2020-09-18T06:37:19+02:00,200,0.3766,50.00%,terrassenfliesen reinigen,wie kann man silber am besten reinigen?,https://www.gutefrage.net/frage/wie-kann-man-silber-am-besten-reinigen
2020-09-14,2020-09-14T16:44:31+02:00,200,0.4106,50.00%,terrassenfliesen reinigen,wie versilberten schmuck reinigen?,https://www.gutefrage.net/frage/wie-versilberten-schmuck-reinigen
2020-09-08,2020-09-08T15:01:41+02:00,200,0.4000,50.00%,terrassenfliesen reinigen,wie reinige ich silber?,https://www.gutefrage.net/frage/wie-reinige-ich-silber
2020-09-01,2020-09-01T09:32:25+02:00,200,0.4760,66.67%,balkon bodenbelag fliesen,"in fliesen tauchen unvermittelt risse auf, wie reagieren?",https://www.gutefrage.net/frage/in-fliesen-tauchen-unvermittelt-risse-auf-wie-reagieren
2020-08-29,2020-08-29T22:43:03+02:00,200,0.7167,100.00%,holz klickfliesen balkon,"ikea klickfliesen auf rutschigem balkonuntergrund verlegen, was drunter?",https://www.gutefrage.net/frage/ikea-klickfliesen-auf-rutschigem-balkonuntergrund-verlegen-was-drunter
2020-07-11,2020-07-11T19:06:15+02:00,200,0.4801,50.00%,terrassenfliesen akazie,terrassenfliesen streichen?,https://www.gutefrage.net/frage/terrassenfliesen-streichen
2020-06-30,2020-06-30T17:55:55+02:00,200,0.4801,50.00%,terrassenfliesen akazie,manche terrassenfliesen dunkler als andere?,https://www.gutefrage.net/frage/manche-terrassenfliesen-dunkler-als-andere
2020-06-21,2020-06-21T09:07:19+02:00,200,0.4801,50.00%,terrassenfliesen akazie,terrassenfliesen in splitt verlegen?,https://www.gutefrage.net/frage/terrassenfliesen-in-splitt-verlegen
2020-06-16,2020-06-16T10:29:42+02:00,200,0.4489,66.67%,balkon bodenbelag fliesen,kann mir jemand sagen was das für ein käfer ist?,https://www.gutefrage.net/frage/kann-mir-jemand-sagen-was-das-fuer-ein-kaefer-ist-2
2020-04-23,2020-04-23T20:17:31+02:00,200,0.3962,50.00%,terrassenfliesen reinigen,säure eignen sich zum reinigen von fliesen aber nicht von marmorplatten kann mir jemand eine erklärung dazu geben?,https://www.gutefrage.net/frage/saeure-eignen-sich-zum-reinigen-von-fliesen-aber-nicht-von-marmorplatten-kann-mir-jemand-eine-erklaerung-dazu-geben
2020-04-19,2020-04-19T19:34:36+02:00,200,0.4633,66.67%,balkon bodenbelag fliesen,wie den boden (fliesen) im fitnessraum des eigenheims schützen?,https://www.gutefrage.net/frage/wie-den-boden-fliesen-im-fitnessraum-des-eigenheims-schuetzen
2020-04-19,2020-04-19T09:42:26+02:00,200,0.4583,50.00%,balkonboden holzfliesen,balkonboden ändern?,https://www.gutefrage.net/frage/balkonboden-aendern
2020-02-03,2020-02-03T21:56:10+01:00,200,0.3513,50.00%,terrassenfliesen reinigen,muss man eine aio wie die corsair h115i pro rgb mit kühlflüssigkeit nachfüllen oder reinigen?,https://www.gutefrage.net/frage/muss-man-eine-aio-wie-die-corsair-h115i-pro-rgb-mit-kuehlfluessigkeit-nachfuellen-oder-reinigen
2020-01-21,2020-01-21T18:16:12+01:00,200,0.3525,50.00%,terrassenfliesen reinigen,wie berechnet man den gewinn aus (autowäsche)?,https://www.gutefrage.net/frage/wie-berechnet-man-den-gewinn-aus-autowaesche
2019-11-22,2019-11-22T14:09:28+01:00,200,0.4637,66.67%,balkon bodenbelag fliesen,was für ein boden ist das? und ist das asbest?,https://www.gutefrage.net/frage/was-fuer-ein-boden-ist-das-und-ist-das-asbest
2019-11-05,2019-11-05T10:29:34+01:00,200,0.4723,66.67%,balkon bodenbelag fliesen,umbau der wohnung - kein balkon mehr. was tun?,https://www.gutefrage.net/frage/umbau-der-wohnung---kein-balkon-mehr-was-tun
2019-10-23,2019-10-23T21:51:42+02:00,200,0.3732,50.00%,terrassenfliesen reinigen,wie am besten airpods reinigen?,https://www.gutefrage.net/frage/wie-am-besten-airpods-reinigen
2019-05-30,2019-05-30T14:12:46+02:00,200,0.6578,100.00%,holz klickfliesen balkon | klickfliesen outdoor holz | klickfliesen reinigen balkon | klickfliesen terrasse holz,holz zu viel geölt was tun?,https://www.gutefrage.net/frage/holz-zu-viel-geoelt-was-tun
2018-06-22,2018-06-22T18:43:19+02:00,200,0.4801,50.00%,terrassenfliesen akazie,terrassenfliesen lösen sich nach 10 jahren vom untergrund? welche alternativen gibt es?,https://www.gutefrage.net/frage/terrassenfliesen-loesen-sich-nach-10-jahren-vom-untergrund-welche-alternativen-gibt-es
2018-06-06,2018-06-06T05:26:12+02:00,200,0.3850,50.00%,terrassenfliesen reinigen,wie katalysator reinigen?,https://www.gutefrage.net/frage/wie-katalysator-reinigen
2018-04-30,2018-04-30T12:49:13+02:00,200,0.4801,50.00%,terrassenfliesen akazie,wie kann ich schwarze flecken auf terrassenfliesen entfernen?,https://www.gutefrage.net/frage/wie-kann-ich-schwarze-flecken-auf-terrassenfliesen-entfernen
2018-04-14,2018-04-14T10:29:50+02:00,200,0.4711,66.67%,balkon bodenbelag fliesen,wie verlege ich im altbau jetzt den boden?,https://www.gutefrage.net/frage/wie-verlege-ich-im-altbau-jetzt-den-boden
2018-04-13,2018-04-13T15:45:09+02:00,200,0.4771,66.67%,klickfliesen reinigen balkon,asche ( von zigaretten) vom balkon boden weg bekommen wie?,https://www.gutefrage.net/d/frage/asche--von-zigaretten-vom-balkon-boden-weg-bekommen-wie
2018-01-05,2018-01-05T10:43:10+01:00,200,0.4727,66.67%,holzfliesen balkon pflege,wie kann ich eine igelfalle selber bauen?,https://www.gutefrage.net/frage/wie-kann-ich-eine-igelfalle-selber-bauen
2017-11-13,2017-11-13T18:11:58+01:00,200,0.4526,66.67%,balkon bodenbelag fliesen,"bad-wc-abfluss etwas erhöhen, aber wie?",https://www.gutefrage.net/frage/bad-wc-abfluss-etwas-erhoehen-aber-wie
2017-08-25,2017-08-25T09:17:24+02:00,200,0.4810,66.67%,klickfliesen reinigen balkon,wie kann ich eine jacke schonend reinigen?,https://www.gutefrage.net/frage/wie-kann-ich-eine-jacke-schonend-reinigen
2017-07-23,2017-07-23T17:38:16+02:00,200,0.4194,50.00%,terrassenfliesen reinigen,wie vagina reinigen?,https://www.gutefrage.net/a/frage/wie-vagina-reinigen
2017-05-24,2017-05-24T15:56:03+02:00,200,0.3962,50.00%,terrassenfliesen reinigen,wie soll ich skateboard kugellager reinigen und ölen reinigen ohne wasser geht doch nicht?,https://www.gutefrage.net/frage/wwie-soll-ich-skateboard-kugellager-reinigen-und-oelen-reinigen-ohne-wasser-geht-doch-nicht
2017-05-17,2017-05-17T18:03:14+02:00,200,0.3696,50.00%,terrassenfliesen reinigen,kann man einen easy pool mit spülmittel reinigen?,https://www.gutefrage.net/frage/kann-man-einen-easy-pool-mit-spuelmittel-reinigen
2017-02-12,2017-02-12T15:36:38+01:00,200,0.3665,50.00%,terrassenfliesen reinigen,wie bekommt man ein teesieb vernünftig sauber?,https://www.gutefrage.net/frage/wie-bekommt-man-ein-teesieb-vernuenftig-sauber
2016-09-14,2016-09-14T17:44:21+02:00,200,0.3872,50.00%,terrassenfliesen reinigen,wie die pfeife reinigen?,https://www.gutefrage.net/d/frage/wie-die-pfeife-reinigen
2016-08-25,2016-08-25T20:11:05+02:00,200,0.3712,50.00%,terrassenfliesen reinigen,wie kann ich einen vergoldeten bilderrahmen reinigen?,https://www.gutefrage.net/frage/wie-kann-ich-einen-vergoldeten-bilderrahmen-reinigen
2016-08-19,2016-08-19T12:21:59+02:00,200,0.3684,50.00%,terrassenfliesen reinigen,"kann ich das panzerglas direkt anbringen, ohne vorher zu reinigen?",https://www.gutefrage.net/frage/kann-ich-das-panzerglas-direkt-anbringen-ohne-vorher-zu-reinigen
2016-07-26,2016-07-26T10:22:10+02:00,200,0.4363,66.67%,balkon bodenbelag fliesen,thema: kaninchenstall auf gefliesten balkon. habt ihr ideen was ich als untergrund nehmen könnte?,https://www.gutefrage.net/frage/huhu--thema-kaninchenstall
2016-06-28,2016-06-28T15:32:08+02:00,200,0.3528,50.00%,terrassenfliesen reinigen,mein rucksack riecht komisch wie kann man den am besten reinigen?,https://www.gutefrage.net/frage/mein-rucksack-riecht-komisch-wie-kann-man-den-am-besten-reinigen
2016-06-15,2016-06-15T17:50:34+02:00,200,0.4604,66.67%,akazienholz terrasse pflege,schlausten tiere die man halten kann?,https://www.gutefrage.net/frage/schlausten-tiere-die-man-halten-kann
2016-06-15,2016-06-15T12:41:55+02:00,200,0.3750,50.00%,terrassenfliesen reinigen,wie reinige ich am besten mein nagarium?,https://www.gutefrage.net/frage/wie-reinige-ich-am-besten-mein-nagarium
2016-06-05,2016-06-05T13:04:35+02:00,200,0.3984,50.00%,terrassenfliesen reinigen,wie kann ich effektiv igel von terrasse fern halten?,https://www.gutefrage.net/frage/wie-kann-ich-effektiv-igel-von-terrasse-fern-halten
2016-05-13,2016-05-13T17:46:01+02:00,200,0.4580,66.67%,klickfliesen reinigen balkon,"hart-plastikverkleidung des fensters durch kerzenruß verfärbt, wie reinigen?",https://www.gutefrage.net/frage/hart-plastikverkleidung-des-fensters-durch-kerzenruss-verfaerbt-wie-reinigen
2016-05-08,2016-05-08T10:49:01+02:00,200,0.3833,50.00%,terrassenfliesen reinigen,wie reinigt man einen spritzbeutel?,https://www.gutefrage.net/frage/wie-reinigt-man-einen-spritzbeutel
2016-05-01,2016-05-01T13:30:53+02:00,200,0.3926,50.00%,terrassenfliesen reinigen,wie oft sollte man seine tastatur reinigen?,https://www.gutefrage.net/frage/wie-oft-sollte-man-seine-tastatur-reinigen
2016-03-26,2016-03-26T18:41:49+01:00,200,0.4549,66.67%,klickfliesen reinigen balkon,wisst ihr wenn man ruft um ein netzt am balkon anzulegen wenn die tauben sich nicht vertreiben lassen und wisst ihr wie teuer das ist?,https://www.gutefrage.net/frage/wisst-ihr-wenn-man-ruft-um-ein-netzt-am-balkon-anzulegen-wenn-die-tauben-sich-nicht-vertreiben-lassen-und-wisst-ihr-wie-teuer-das-ist
2016-03-17,2016-03-17T17:00:47+01:00,200,0.4899,66.67%,balkon bodenbelag fliesen,kann man auf ungeraden dielen fliesen legen?,https://www.gutefrage.net/frage/kann-man-auf-ungeraden-dielen-fliesen-legen
2015-08-31,2015-08-31T11:23:29+02:00,200,0.3798,50.00%,terrassenfliesen reinigen,wie kann ich dieses schwert reinigen?,https://www.gutefrage.net/frage/wie-kann-ich-dieses-schwert-reinigen
2015-08-29,2015-08-29T11:11:19+02:00,200,0.3966,50.00%,terrassenfliesen reinigen,wie kann ich verbrannte teppiche wieder reinigen?,https://www.gutefrage.net/frage/wie-kann-ich-verbrannte-teppiche-wieder-reinigen
2015-08-20,2015-08-20T22:31:47+02:00,200,0.4576,66.67%,klickfliesen outdoor holz,was ist der unterschied zwischen holz und teak holz?,https://www.gutefrage.net/frage/was-ist-der-unterschied-zwischen-holz-und-teak-holz
2015-07-02,2015-07-02T15:03:14+02:00,200,0.4843,66.67%,klickfliesen terrasse holz,wie kann ich am besten ameisen auf der terrasse loswerden?,https://www.gutefrage.net/frage/wie-kann-ich-am-besten-ameisen-auf-der-terrasse-loswerden
2015-07-02,2015-07-02T22:38:52+02:00,200,0.4743,66.67%,klickfliesen terrasse holz,warum wölbt sich das lärchenholz auf meiner terrasse?,https://www.gutefrage.net/frage/warum-woelbt-sich-das-laerchenholz-auf-meiner-terrasse-
2015-07-01,2015-07-01T17:07:15+02:00,200,0.7593,100.00%,holzfliesen balkon pflege,womit pflege ich meine holzfliesen auf dem balkon. es handelt sich um klickfliesen aus akazie und sie sind schon sehr ausgeblichen aber erst ein jahr alt?,https://www.gutefrage.net/frage/womit-pflege-ich-meine-holzfliesen-auf-dem-balkon-es-handelt-sich-um-klickfliesen-aus-akazie-und-sie-sind-schon-sehr-ausgeblichen-aber-erst-ein-jahr-alt
2015-06-26,2015-06-26T21:02:26+02:00,200,0.6263,100.00%,balkonboden holzfliesen,mit welchem fußboden oder fußbodenbelag für den balkon habt ihr die besten erfahrungen gemacht?,https://www.gutefrage.net/frage/mit-welchem-fussboden-oder-fussbodenbelag-fuer-den-balkon-habt-ihr-die-besten-erfahrungen-gemacht
2015-04-09,2015-04-09T18:28:16+02:00,200,0.4634,66.67%,holzfliesen balkon pflege,ich habe das nest auf meinem balkon was kann ich machen .habe auch eine,https://www.gutefrage.net/frage/ich-habe-das-nest-auf-meinem--balkon-was-kann-ich-machen-habe-auch-eine
2015-01-01,2015-01-01T19:58:18+01:00,200,0.3962,50.00%,terrassenfliesen reinigen,beim reinigen der ohp-folie bildet sich eine trübe schicht. was mache ich falsch?,https://www.gutefrage.net/frage/beim-reinigen-der-ohp-folie-bildet-sich-eine-truebe-schicht-was-mache-ich-falsch
2014-11-17,2014-11-17T16:14:25+01:00,200,0.4500,66.67%,holz klickfliesen balkon,"holzterasse ölen, oder lasieren? mit was genau? auch jetzt noch möglich?",https://www.gutefrage.net/frage/holzterasse-oelen-oder-lasieren-mit-was-genau-auch-jetzt-noch-moeglich
2014-08-29,2014-08-29T09:51:49+02:00,200,0.3946,50.00%,terrassenfliesen reinigen,wie macbook reinigen?,https://www.gutefrage.net/frage/wie-macbook-reinigen
2014-06-01,2014-06-01T18:44:54+02:00,200,0.3645,50.00%,terrassenfliesen reinigen,wie kann man einen laser einer spielekonsole (wii u) richtig reinigen?,https://www.gutefrage.net/frage/wie-kann-man-einen-laser-einer-spielekonsole-wii-u-richtig-reinigen
